DateTime,open,close,high,low
2022-03-24 08:22:10,445.8,445.85,445.85,445.77
2022-03-24 08:22:15,445.85,445.83,445.87,445.82
2022-03-24 08:22:20,445.83,445.82,445.84,445.77
2022-03-24 08:22:25,445.82,445.82,445.84,445.8
2022-03-24 08:22:30,445.82,445.84,445.85,445.81
2022-03-24 08:22:35,445.84,445.83,445.88,445.78
2022-03-24 08:22:40,445.83,445.79,445.85,445.78
2022-03-24 08:22:45,445.79,445.78,445.81,445.76
2022-03-24 08:22:50,445.78,445.81,445.83,445.76
2022-03-24 08:22:55,445.81,445.83,445.85,445.81
2022-03-24 08:23:00,445.83,445.86,445.92,445.82
2022-03-24 08:23:05,445.86,445.8,445.86,445.76
2022-03-24 08:23:10,445.8,445.84,445.85,445.79
2022-03-24 08:23:15,445.84,445.85,445.88,445.82
2022-03-24 08:23:20,445.85,445.85,445.87,445.81
2022-03-24 08:23:25,445.85,445.9,445.91,445.85
2022-03-24 08:23:30,445.9,445.86,445.92,445.86
2022-03-24 08:23:35,445.86,445.84,445.9,445.83
2022-03-24 08:23:40,445.84,445.86,445.88,445.83
2022-03-24 08:23:45,445.86,445.84,445.88,445.83
2022-03-24 08:23:50,445.84,445.8,445.84,445.78
2022-03-24 08:23:55,445.8,445.81,445.85,445.8
2022-03-24 08:24:00,445.81,445.8,445.84,445.77
2022-03-24 08:24:05,445.8,445.87,445.89,445.79
2022-03-24 08:24:10,445.87,445.84,445.88,445.82
2022-03-24 08:24:15,445.84,445.88,445.9,445.84
2022-03-24 08:24:20,445.88,445.71,445.89,445.71
2022-03-24 08:24:25,445.71,445.66,445.72,445.65
2022-03-24 08:24:30,445.66,445.66,445.67,445.57
2022-03-24 08:24:35,445.66,445.68,445.72,445.65
2022-03-24 08:24:40,445.68,445.66,445.7,445.61
2022-03-24 08:24:45,445.66,445.62,445.67,445.61
2022-03-24 08:24:50,445.62,445.62,445.64,445.61
2022-03-24 08:24:55,445.62,445.62,445.63,445.58
2022-03-24 08:25:00,445.62,445.62,445.64,445.57
2022-03-24 08:25:05,445.62,445.7,445.77,445.61
2022-03-24 08:25:10,445.7,445.82,445.82,445.67
2022-03-24 08:25:15,445.82,445.81,445.83,445.78
2022-03-24 08:25:20,445.81,445.77,445.81,445.76
2022-03-24 08:25:25,445.77,445.79,445.81,445.76
2022-03-24 08:25:30,445.79,445.78,445.81,445.75
2022-03-24 08:25:35,445.78,445.78,445.78,445.69
2022-03-24 08:25:40,445.78,445.71,445.79,445.68
2022-03-24 08:25:45,445.71,445.7,445.74,445.67
2022-03-24 08:25:50,445.7,445.68,445.75,445.67
2022-03-24 08:25:55,445.68,445.73,445.74,445.67
2022-03-24 08:26:00,445.73,445.59,445.74,445.58
2022-03-24 08:26:05,445.59,445.65,445.67,445.58
2022-03-24 08:26:10,445.65,445.59,445.65,445.53
2022-03-24 08:26:15,445.59,445.63,445.64,445.59
2022-03-24 08:26:20,445.63,445.65,445.66,445.61
2022-03-24 08:26:25,445.65,445.58,445.65,445.56
2022-03-24 08:26:30,445.58,445.46,445.58,445.41
